Qty,Value,Device,Package,Tolerance,Rating,Parts,Description,LCSC Price 1,LCSC Price 10,LCSC Pricee 100,LCSC Price 1000,LCSC PN,LCSC Link,Digikey Price,Digikey Link
3,,ZENER-DIODESOD80C,SOD80C,2V,6.2V 500mW 3uA @ 4V,"D1, D2, D3",Z-Diode,NA,NA,0.15439,0.03613212,C282536,https://lcsc.com/product-detail/Zener-Diodes_Nexperia-BZV55-B6V2-115_C282536.html,,
1,0.01uF,C-EUC0805,C0805,10%,500V,C20,"CAPACITOR, European symbol",NA,NA,0.16748,0.1233,C309038,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R103K501DTS_C309038.html,,
15,0.1uF,C-EUC0805,C0805,10%,250V,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C21","CAPACITOR, European symbol",NA,NA,0.08029,0.183533,C710458,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_HUI-JU-NM0805B104K251CEDN_C710458.html,,
1,1,R-EU_R0805,R0805,5%,0.125W,R1,"RESISTOR, European symbol",,,0.001894,0.001449,C104066,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1R-1R0-5_C104066.html,,
10,10k,R-EU_R0805,R0805,1%,0.125W,"R2, R12, R13, R14, R15, R16, R17, R18, R19, R20","RESISTOR, European symbol",,,0.002477,0.001928,C38522,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C38522.html,,
2,10uF,C-EUC0805,C0805,10%,25V,"C15, C16","CAPACITOR, European symbol",,0.034545,0.029111,0.026285,C40894,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805X106K250NT_C40894.html,,
1,16MHz,CRYSTALHC49UP,HC49UP,20ppm,20pF 30ohm,Q1,CRYSTAL,,0.17467,0.129776,0.113286,C259047,https://lcsc.com/product-detail/SMD-Crystal-Resonators_ECEC-ZheJiang-E-ast-Crystal-Elec-C16000J119_C259047.html,,
1,1M,R-EU_R0805,R0805,5%,0.125W,R10,"RESISTOR, European symbol",,,0.001495,0.001107,C131391,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RS-05K105JT_C131391.html,,
9,1k,R-EU_R0805,R0805,5%,0.125W,"R3, R21, R22, R23, R24, R25, R26, R27, R30","RESISTOR, European symbol",,,0.001474,0.001095,C25623,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8J0102T5E_C25623.html,,
8,1.3k,R-EU_R0805,R0805,1%,0.125W,"R4, R5, R6, R7, R8, R9, R31, R32","RESISTOR, European symbol",,,0.031326,0.022996,C230658,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_PANASONIC-ERJ6ENF1300V_C230658.html,,
1,1uF,C-EUC0805,C0805,10%,50V,C17,"CAPACITOR, European symbol",,,0.087535,0.2013519,C282736,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R105K500DTB_C282736.html,,
2,2.2uF,C-EUC0805,C0805,10%,25V,"C18, C19","CAPACITOR, European symbol",,,0.083415,0.01916993,C19110,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21B225KAFNNNE_2-2uF-225-10-25V_C19110.html,,
2,22pF,C-EUC0805,C0805,5%,50V,"C22, C23","CAPACITOR, European symbol",,,0.021236,0.02361,C465168,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Chinocera-HGC0805G0220J500NTGJ_C465168.html,,
1,25MHz,CRYSTALHC49UP,HC49UP,30ppm,20pF 50ohm,Q2,CRYSTAL,,0.189734,0.14142,0.117488,C111118,https://lcsc.com/product-detail/SMD-Crystal-Resonators_TAE-Zhejiang-Abel-Elec-HC-49SM25MHz20pF30ppm_C111118.html,,
1,4.7uH,L-EUL0201,L0201,20%,800mA 312mohm,L1,"INDUCTOR, European symbol",,0.033768,0.0246,0.022917,C63166,https://lcsc.com/product-detail/Inductors-SMD_Sunlord-MPL2012S4R7MHT_C63166.html,,
1,68k,R-EU_R0805,R0805,5%,0.125W,R11,"RESISTOR, European symbol",,,0.001395,0.001007,C25641,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8J0683T5E_C25641.html,,
1,,A1944-50,A1944,,,X1,BNC CONNECTOR 50 Ohm,,,,,,,11.76,https://www.digikey.com/en/products/detail/amphenol-rf/112435/2628898
1,,AD9833,MSOP10,,,IC1,LowPower Waveform Generator,4.575,3.926667,3.808333,3.688333,C9652,https://lcsc.com/product-detail/Interface-Direct-Digital-Synthesis-DDS_Analog-Devices_AD9833BRMZ_Analog-Devices-ADI-LINEAR-AD9833BRMZ_C9652.html,,
1,,DCJ0202,DCJ0202,,,J1,DC POWER JACK,,0.243966,0.177334,0.152834,C111573,https://lcsc.com/product-detail/AC-DC-Power-Plugs-Receptacles_SOFNG-DC005-T25_C111573.html,,
2,,LM318MX/NOPB,SOIC-8,,,"IC4, IC5",OP AMP,0.803333,0.581667,0.486617 ,0.46075 ,C128749,https://lcsc.com/product-detail/General-Purpose-Amplifiers_Texas-Instruments_LM318MX-NOPB_Texas-Instruments-Texas-Instruments-LM318MX-NOPB_C128749.html,,
