Qty,Value,Device,Package,Parts,Description,AVAILABILITY,BUILT_BY,CENTROID_NOT_SPECIFIED,DATASHEET,DESCRIPTION.1,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,LEAD_FREE,MANUFACTURER_PART_NUMBER,MF,MFG_PACKAGE_IDENT,LCSC_PART_NUMBER,LCSC_MANUFACTURER,LCSC_MF_PART_NUMBER,OC_FARNELL,OC_NEWARK,PACKAGE.1,POPULARITY,PREFIX,DIGIKEY_PRICE,LCSC_PRICE,SOURCELIBRARY,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,VENDOR,VOLTAGE,Column1
1,16MHz,CRYSTALHC49UP,HC49UP,Q1,CRYSTAL,1000,ILSI,,,CANT FIND ON LCSC,�30ppm Crystal 18pF HC-49/US,2780-HC49USM-FF3F18-16.000MHZTR-ND,,HC49USM-FF3F18-16.000MHZ,ILSI,,,,,,,,,,0.29,,,,,,,,
1,25MHz,CRYSTALHC49UP,HC49UP,Q2,CRYSTAL,1000,ILSI,,,CANT FIND ON LCSC,CRYSTAL 25.0000MHZ 18PF SMD,2780-HC49USM-FF5F18-25.000MHZCT-ND,,HC49USM-FF5F18-25.000MHZ,ILSI,,,,,unknown,unknown,,19,,0.29,,,,,,,,
4,,JP1E,JP1,"JP2, JP3, JP4, JP5",JUMPER,,,,,,,,,,,,,,,,,,61,,,,,,,,,,
1,,JP3QE,JP3Q,JP1,JUMPER,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1,.1pF,C-EUC0805,C0805,C19,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
1,0,R-EU_R0805,R0805,R16,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
1,0.1uF,C-EUC0805,C0805,C1,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
2,0.33uF,C-EUC0805,C0805,"C2, C4","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
4,100,R-EU_R0805,R0805,"R10, R11, R12, R13","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
6,100nF,C-EUC0805,C0805,"C5, C6, C9, C10, C11, C15","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
1,10M,R-EU_R0805,R0805,R15,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
4,10k,R-EU_R0805,R0805,"R2, R3, R6, R8","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
1,10nF,C-EUC0805,C0805,C8,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
2,10uF,C-EUC0805,C0805,"C7, C17","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
2,1k,R-EU_R0805,R0805,"R1, R14","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,86,,,,,R,,,,,
1,1mF,C-EUC0805,C0805,C12,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,88,,,,,C,,,,,
